date,open,high,low,close,Volume
24.08.2013 15:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
24.08.2013 19:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
24.08.2013 23:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 03:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 07:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 11:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 15:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 19:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
25.08.2013 23:00:00.000 GMT+0200,0.85935,0.85990,0.85882,0.85917,5528.0899
26.08.2013 03:00:00.000 GMT+0200,0.85918,0.85963,0.85913,0.85952,5762.43
26.08.2013 07:00:00.000 GMT+0200,0.85953,0.85959,0.85808,0.85828,12938.9202
26.08.2013 11:00:00.000 GMT+0200,0.85830,0.85900,0.85769,0.85822,15992.9597
26.08.2013 15:00:00.000 GMT+0200,0.85822,0.85907,0.85814,0.85853,21710.319600000003
26.08.2013 19:00:00.000 GMT+0200,0.85853,0.85874,0.85812,0.85822,10124.7099
26.08.2013 23:00:00.000 GMT+0200,0.85822,0.85879,0.85810,0.85863,10176.3199
27.08.2013 03:00:00.000 GMT+0200,0.85863,0.85918,0.85848,0.85862,9025.57
27.08.2013 07:00:00.000 GMT+0200,0.85862,0.86162,0.85807,0.85992,27634.5298
27.08.2013 11:00:00.000 GMT+0200,0.85993,0.86112,0.85947,0.86020,22831.9405
27.08.2013 15:00:00.000 GMT+0200,0.86021,0.86233,0.86018,0.86159,27385.2197
27.08.2013 19:00:00.000 GMT+0200,0.86157,0.86197,0.86122,0.86145,11285.22
27.08.2013 23:00:00.000 GMT+0200,0.86144,0.86156,0.86104,0.86109,7674.979799999999
28.08.2013 03:00:00.000 GMT+0200,0.86109,0.86198,0.86098,0.86174,9242.190200000001
28.08.2013 07:00:00.000 GMT+0200,0.86174,0.86330,0.86148,0.86256,21219.5396
28.08.2013 11:00:00.000 GMT+0200,0.86256,0.86512,0.85954,0.86015,30522.0704
28.08.2013 15:00:00.000 GMT+0200,0.86016,0.86119,0.85716,0.85892,30705.980199999998
28.08.2013 19:00:00.000 GMT+0200,0.85891,0.85939,0.85838,0.85910,8888.63
28.08.2013 23:00:00.000 GMT+0200,0.85911,0.85933,0.85847,0.85871,6223.4401
29.08.2013 03:00:00.000 GMT+0200,0.85872,0.85883,0.85770,0.85784,9146.61
29.08.2013 07:00:00.000 GMT+0200,0.85785,0.85804,0.85436,0.85494,26614.8802
29.08.2013 11:00:00.000 GMT+0200,0.85494,0.85554,0.85426,0.85470,25819.2202
29.08.2013 15:00:00.000 GMT+0200,0.85471,0.85478,0.85289,0.85434,25698.570499999998
29.08.2013 19:00:00.000 GMT+0200,0.85433,0.85449,0.85365,0.85397,11249.7199
29.08.2013 23:00:00.000 GMT+0200,0.85397,0.85405,0.85351,0.85367,8870.0803
30.08.2013 03:00:00.000 GMT+0200,0.85368,0.85404,0.85334,0.85355,7663.909900000001
30.08.2013 07:00:00.000 GMT+0200,0.85354,0.85486,0.85198,0.85473,19826.1503
30.08.2013 11:00:00.000 GMT+0200,0.85472,0.85524,0.85348,0.85360,23103.0801
