date,open,high,low,close,volume
2023-06-27 12:55:00,119.06,119.085,118.93,118.94,167107
2023-06-27 13:00:00,118.9468,118.96,118.83,118.905,134395
2023-06-27 13:05:00,118.905,119.04,118.77,119.0174,104903
2023-06-27 13:10:00,119.02,119.1217,118.8909,118.9633,167588
2023-06-27 13:15:00,118.965,119.09,118.85,119.045,123717
2023-06-27 13:20:00,119.05,119.125,118.99,119.1,97728
2023-06-27 13:25:00,119.095,119.14,118.8316,118.871,115035
2023-06-27 13:30:00,118.88,119.18,118.85,119.11,130121
2023-06-27 13:35:00,119.105,119.19,119.08,119.1891,103555
2023-06-27 13:40:00,119.183,119.27,119.105,119.11,121880
2023-06-27 13:45:00,119.1,119.35,119.09,119.3404,146591
2023-06-27 13:50:00,119.345,119.4,119.24,119.32,81596
2023-06-27 13:55:00,119.32,119.49,119.28,119.49,127495
2023-06-27 14:00:00,119.485,119.525,119.4,119.475,100595
2023-06-27 14:05:00,119.475,119.5202,119.37,119.43,111605
2023-06-27 14:10:00,119.44,119.65,119.4319,119.63,104850
2023-06-27 14:15:00,119.63,119.66,119.5,119.55,84935
2023-06-27 14:20:00,119.56,119.6,119.3309,119.365,97755
2023-06-27 14:25:00,119.36,119.42,119.29,119.365,185982
2023-06-27 14:30:00,119.36,119.54,119.33,119.535,218272
2023-06-27 14:35:00,119.5444,119.58,119.46,119.46,105085
2023-06-27 14:40:00,119.46,119.57,119.375,119.555,83692
2023-06-27 14:45:00,119.55,119.77,119.51,119.715,133335
2023-06-27 14:50:00,119.71,119.895,119.7,119.87,88628
2023-06-27 14:55:00,119.88,119.89,119.59,119.615,124283
2023-06-27 15:00:00,119.62,119.835,119.59,119.725,139136
2023-06-27 15:05:00,119.725,119.83,119.705,119.8,129781
2023-06-27 15:10:00,119.795,119.85,119.72,119.74,270390
2023-06-27 15:15:00,119.745,119.78,119.61,119.635,184750
2023-06-27 15:20:00,119.65,119.66,119.55,119.605,167331
2023-06-27 15:25:00,119.6,119.77,119.5701,119.765,216100
2023-06-27 15:30:00,119.765,119.815,119.56,119.58,211667
2023-06-27 15:35:00,119.575,119.66,119.48,119.505,250258
2023-06-27 15:40:00,119.51,119.54,119.12,119.15,573977
2023-06-27 15:45:00,119.145,119.33,119.08,119.13,580367
2023-06-27 15:50:00,119.13,119.15,118.76,118.96,1132654
2023-06-27 15:55:00,118.96,119.05,118.65,119.01,1168700
2023-06-27 16:00:00,119.02,119.02,118.88,118.9,2626781
2023-06-27 16:05:00,118.95,119.01,118.77,118.8,20182
2023-06-27 16:10:00,118.82,118.82,118.8,118.8,1768
2023-06-27 16:15:00,118.77,118.87,118.77,118.81,700
2023-06-27 16:20:00,119.01,119.01,118.77,118.8,8475
2023-06-27 16:25:00,118.82,118.82,118.8,118.8,1200
2023-06-27 16:30:00,118.82,118.82,118.79,118.79,1200
2023-06-27 16:35:00,118.79,118.79,118.0,118.14,10064
2023-06-27 16:40:00,118.14,118.4,118.1,118.4,2573
2023-06-27 16:45:00,118.4,119.01,118.3001,118.48,130835
